locus	category	family	chrom	start	end	strand	source	gene_id	transcript_id	repFamily	repName	intModel	l1base_id
L1FLnI_1q23.3d	L1FLnI	L1FLnI	chr1	160803521	160812320	-	l1base	L1FLnI_1q23.3d_chr1_160803521_160812320	L1FLnI_1q23.3d_chr1_160803521_160812320				UID-7298
L1FLnI_1q23.3e	L1FLnI	L1FLnI	chr1	160936461	160945537	-	l1base	L1FLnI_1q23.3e_chr1_160936461_160945537	L1FLnI_1q23.3e_chr1_160936461_160945537				UID-7535
L1FLnI_1q23.3f	L1FLnI	L1FLnI	chr1	161689360	161699812	+	l1base	L1FLnI_1q23.3f_chr1_161689360_161699812	L1FLnI_1q23.3f_chr1_161689360_161699812				UID-7509
L1FLnI_1q23.3g	L1FLnI	L1FLnI	chr1	162100217	162109922	-	l1base	L1FLnI_1q23.3g_chr1_162100217_162109922	L1FLnI_1q23.3g_chr1_162100217_162109922				UID-7204
L1FLnI_1q23.3h	L1FLnI	L1FLnI	chr1	162742505	162752653	+	l1base	L1FLnI_1q23.3h_chr1_162742505_162752653	L1FLnI_1q23.3h_chr1_162742505_162752653				UID-7456
L1FLnI_1q23.3i	L1FLnI	L1FLnI	chr1	163639500	163649540	-	l1base	L1FLnI_1q23.3i_chr1_163639500_163649540	L1FLnI_1q23.3i_chr1_163639500_163649540				UID-7373
L1FLnI_1q23.3j	L1FLnI	L1FLnI	chr1	163639520	163649540	-	l1base	L1FLnI_1q23.3j_chr1_163639520_163649540	L1FLnI_1q23.3j_chr1_163639520_163649540				UID-7336
L1FLnI_1q23.3k	L1FLnI	L1FLnI	chr1	163738951	163749576	-	l1base	L1FLnI_1q23.3k_chr1_163738951_163749576	L1FLnI_1q23.3k_chr1_163738951_163749576				UID-7253
L1FLnI_1q23.3l	L1FLnI	L1FLnI	chr1	163749742	163759758	-	l1base	L1FLnI_1q23.3l_chr1_163749742_163759758	L1FLnI_1q23.3l_chr1_163749742_163759758				UID-6742
L1FLnI_1q23.3m	L1FLnI	L1FLnI	chr1	163847926	163858046	-	l1base	L1FLnI_1q23.3m_chr1_163847926_163858046	L1FLnI_1q23.3m_chr1_163847926_163858046				UID-6874
L1FLnI_1q23.3n	L1FLnI	L1FLnI	chr1	163958385	163967927	+	l1base	L1FLnI_1q23.3n_chr1_163958385_163967927	L1FLnI_1q23.3n_chr1_163958385_163967927				UID-7227
L1FLnI_1q23.3o	L1FLnI	L1FLnI	chr1	164067611	164077209	-	l1base	L1FLnI_1q23.3o_chr1_164067611_164077209	L1FLnI_1q23.3o_chr1_164067611_164077209				UID-7238
L1FLnI_1q23.3p	L1FLnI	L1FLnI	chr1	164067611	164076756	-	l1base	L1FLnI_1q23.3p_chr1_164067611_164076756	L1FLnI_1q23.3p_chr1_164067611_164076756				UID-7248
L1FLnI_1q23.3q	L1FLnI	L1FLnI	chr1	164121132	164130572	-	l1base	L1FLnI_1q23.3q_chr1_164121132_164130572	L1FLnI_1q23.3q_chr1_164121132_164130572				UID-7530
L1FLnI_1q23.3r	L1FLnI	L1FLnI	chr1	164163062	164172586	+	l1base	L1FLnI_1q23.3r_chr1_164163062_164172586	L1FLnI_1q23.3r_chr1_164163062_164172586				UID-7414
L1FLnI_1q23.3s	L1FLnI	L1FLnI	chr1	164212523	164222685	+	l1base	L1FLnI_1q23.3s_chr1_164212523_164222685	L1FLnI_1q23.3s_chr1_164212523_164222685				UID-6717
L1FLnI_1q23.3t	L1FLnI	L1FLnI	chr1	164343622	164352243	+	l1base	L1FLnI_1q23.3t_chr1_164343622_164352243	L1FLnI_1q23.3t_chr1_164343622_164352243				UID-7540
L1FLnI_1q23.3u	L1FLnI	L1FLnI	chr1	164348490	164357094	+	l1base	L1FLnI_1q23.3u_chr1_164348490_164357094	L1FLnI_1q23.3u_chr1_164348490_164357094				UID-7177
L1FLnI_1q23.3v	L1FLnI	L1FLnI	chr1	164455705	164465753	+	l1base	L1FLnI_1q23.3v_chr1_164455705_164465753	L1FLnI_1q23.3v_chr1_164455705_164465753				UID-7319
L1FLnI_1q23.3w	L1FLnI	L1FLnI	chr1	165081467	165091610	+	l1base	L1FLnI_1q23.3w_chr1_165081467_165091610	L1FLnI_1q23.3w_chr1_165081467_165091610				UID-6761
L1FLnI_1q23.3x	L1FLnI	L1FLnI	chr1	165102741	165111933	-	l1base	L1FLnI_1q23.3x_chr1_165102741_165111933	L1FLnI_1q23.3x_chr1_165102741_165111933				UID-7457
L1FLnI_1q24.1a	L1FLnI	L1FLnI	chr1	165777571	165787653	-	l1base	L1FLnI_1q24.1a_chr1_165777571_165787653	L1FLnI_1q24.1a_chr1_165777571_165787653				UID-6891
L1FLnI_1q24.1b	L1FLnI	L1FLnI	chr1	166096706	166106864	+	l1base	L1FLnI_1q24.1b_chr1_166096706_166106864	L1FLnI_1q24.1b_chr1_166096706_166106864				UID-6894
L1FLnI_1q24.1c	L1FLnI	L1FLnI	chr1	166227111	166236792	-	l1base	L1FLnI_1q24.1c_chr1_166227111_166236792	L1FLnI_1q24.1c_chr1_166227111_166236792				UID-7205
L1FLnI_1q24.1d	L1FLnI	L1FLnI	chr1	166242555	166252584	-	l1base	L1FLnI_1q24.1d_chr1_166242555_166252584	L1FLnI_1q24.1d_chr1_166242555_166252584				UID-6683
L1FLnI_1q24.1e	L1FLnI	L1FLnI	chr1	166310371	166320527	-	l1base	L1FLnI_1q24.1e_chr1_166310371_166320527	L1FLnI_1q24.1e_chr1_166310371_166320527				UID-6918
L1FLnI_1q24.1f	L1FLnI	L1FLnI	chr1	166310380	166320527	-	l1base	L1FLnI_1q24.1f_chr1_166310380_166320527	L1FLnI_1q24.1f_chr1_166310380_166320527				UID-6895
L1FLnI_1q24.1g	L1FLnI	L1FLnI	chr1	166410801	166420938	-	l1base	L1FLnI_1q24.1g_chr1_166410801_166420938	L1FLnI_1q24.1g_chr1_166410801_166420938				UID-6896
L1FLnI_1q24.1h	L1FLnI	L1FLnI	chr1	166422971	166433412	-	l1base	L1FLnI_1q24.1h_chr1_166422971_166433412	L1FLnI_1q24.1h_chr1_166422971_166433412				UID-7151
L1FLnI_1q24.1i	L1FLnI	L1FLnI	chr1	166726916	166735808	+	l1base	L1FLnI_1q24.1i_chr1_166726916_166735808	L1FLnI_1q24.1i_chr1_166726916_166735808				UID-7291
L1FLnI_1q24.2a	L1FLnI	L1FLnI	chr1	168348364	168358379	-	l1base	L1FLnI_1q24.2a_chr1_168348364_168358379	L1FLnI_1q24.2a_chr1_168348364_168358379				UID-7315
L1FLnI_1q24.2b	L1FLnI	L1FLnI	chr1	168677771	168688123	-	l1base	L1FLnI_1q24.2b_chr1_168677771_168688123	L1FLnI_1q24.2b_chr1_168677771_168688123				UID-7506
L1FLnI_1q24.2c	L1FLnI	L1FLnI	chr1	168992145	169002531	-	l1base	L1FLnI_1q24.2c_chr1_168992145_169002531	L1FLnI_1q24.2c_chr1_168992145_169002531				UID-7127
L1FLnI_1q24.2d	L1FLnI	L1FLnI	chr1	169032460	169042826	+	l1base	L1FLnI_1q24.2d_chr1_169032460_169042826	L1FLnI_1q24.2d_chr1_169032460_169042826				UID-7484
L1FLnI_1q24.2e	L1FLnI	L1FLnI	chr1	169251063	169261091	-	l1base	L1FLnI_1q24.2e_chr1_169251063_169261091	L1FLnI_1q24.2e_chr1_169251063_169261091				UID-7329
L1FLnI_1q24.2f	L1FLnI	L1FLnI	chr1	169279339	169287862	-	l1base	L1FLnI_1q24.2f_chr1_169279339_169287862	L1FLnI_1q24.2f_chr1_169279339_169287862				UID-7532
L1FLnI_1q24.2g	L1FLnI	L1FLnI	chr1	169397199	169407297	+	l1base	L1FLnI_1q24.2g_chr1_169397199_169407297	L1FLnI_1q24.2g_chr1_169397199_169407297				UID-7052
L1FLnI_1q24.2h	L1FLnI	L1FLnI	chr1	169404130	169414527	+	l1base	L1FLnI_1q24.2h_chr1_169404130_169414527	L1FLnI_1q24.2h_chr1_169404130_169414527				UID-7128
L1FLnI_1q24.2i	L1FLnI	L1FLnI	chr1	169652463	169661533	+	l1base	L1FLnI_1q24.2i_chr1_169652463_169661533	L1FLnI_1q24.2i_chr1_169652463_169661533				UID-7381
L1FLnI_1q24.2j	L1FLnI	L1FLnI	chr1	170045039	170055484	+	l1base	L1FLnI_1q24.2j_chr1_170045039_170055484	L1FLnI_1q24.2j_chr1_170045039_170055484				UID-7517
L1FLnI_1q24.2k	L1FLnI	L1FLnI	chr1	170045039	170054037	+	l1base	L1FLnI_1q24.2k_chr1_170045039_170054037	L1FLnI_1q24.2k_chr1_170045039_170054037				UID-7523
L1FLnI_1q24.2l	L1FLnI	L1FLnI	chr1	170088673	170098701	-	l1base	L1FLnI_1q24.2l_chr1_170088673_170098701	L1FLnI_1q24.2l_chr1_170088673_170098701				UID-6801
L1FLnI_1q24.2m	L1FLnI	L1FLnI	chr1	170106979	170115841	-	l1base	L1FLnI_1q24.2m_chr1_170106979_170115841	L1FLnI_1q24.2m_chr1_170106979_170115841				UID-6802
L1FLnI_1q24.2n	L1FLnI	L1FLnI	chr1	170187516	170196075	-	l1base	L1FLnI_1q24.2n_chr1_170187516_170196075	L1FLnI_1q24.2n_chr1_170187516_170196075				UID-7209
L1FLnI_1q24.2o	L1FLnI	L1FLnI	chr1	170360672	170369226	-	l1base	L1FLnI_1q24.2o_chr1_170360672_170369226	L1FLnI_1q24.2o_chr1_170360672_170369226				UID-7527
L1FLnI_1q24.2p	L1FLnI	L1FLnI	chr1	170378426	170390024	-	l1base	L1FLnI_1q24.2p_chr1_170378426_170390024	L1FLnI_1q24.2p_chr1_170378426_170390024				UID-7245
L1FLnI_1q24.2q	L1FLnI	L1FLnI	chr1	170422670	170433085	+	l1base	L1FLnI_1q24.2q_chr1_170422670_170433085	L1FLnI_1q24.2q_chr1_170422670_170433085				UID-7518
L1FLnI_1q24.2r	L1FLnI	L1FLnI	chr1	170460387	170470537	+	l1base	L1FLnI_1q24.2r_chr1_170460387_170470537	L1FLnI_1q24.2r_chr1_170460387_170470537				UID-6913
L1FLnI_1q24.2s	L1FLnI	L1FLnI	chr1	170565381	170575870	+	l1base	L1FLnI_1q24.2s_chr1_170565381_170575870	L1FLnI_1q24.2s_chr1_170565381_170575870				UID-7168
L1FLnI_1q24.2t	L1FLnI	L1FLnI	chr1	170807250	170817390	+	l1base	L1FLnI_1q24.2t_chr1_170807250_170817390	L1FLnI_1q24.2t_chr1_170807250_170817390				UID-7471
L1FLnI_1q24.3a	L1FLnI	L1FLnI	chr1	171233639	171243925	+	l1base	L1FLnI_1q24.3a_chr1_171233639_171243925	L1FLnI_1q24.3a_chr1_171233639_171243925				UID-7390
L1FLnI_1q24.3b	L1FLnI	L1FLnI	chr1	171355723	171365103	+	l1base	L1FLnI_1q24.3b_chr1_171355723_171365103	L1FLnI_1q24.3b_chr1_171355723_171365103				UID-7145
L1FLnI_1q24.3c	L1FLnI	L1FLnI	chr1	171370088	171380076	+	l1base	L1FLnI_1q24.3c_chr1_171370088_171380076	L1FLnI_1q24.3c_chr1_171370088_171380076				UID-7348
L1FLnI_1q24.3d	L1FLnI	L1FLnI	chr1	171370088	171380097	+	l1base	L1FLnI_1q24.3d_chr1_171370088_171380097	L1FLnI_1q24.3d_chr1_171370088_171380097				UID-7369
L1FLnI_1q24.3e	L1FLnI	L1FLnI	chr1	171549970	171560057	-	l1base	L1FLnI_1q24.3e_chr1_171549970_171560057	L1FLnI_1q24.3e_chr1_171549970_171560057				UID-7452
L1FLnI_1q24.3f	L1FLnI	L1FLnI	chr1	172052331	172062361	+	l1base	L1FLnI_1q24.3f_chr1_172052331_172062361	L1FLnI_1q24.3f_chr1_172052331_172062361				UID-6762
L1FLnI_1q24.3g	L1FLnI	L1FLnI	chr1	172195409	172205465	-	l1base	L1FLnI_1q24.3g_chr1_172195409_172205465	L1FLnI_1q24.3g_chr1_172195409_172205465				UID-7545
L1FLnI_1q24.3h	L1FLnI	L1FLnI	chr1	172298410	172308531	+	l1base	L1FLnI_1q24.3h_chr1_172298410_172308531	L1FLnI_1q24.3h_chr1_172298410_172308531				UID-7458
L1FLnI_1q24.3i	L1FLnI	L1FLnI	chr1	172310748	172320895	+	l1base	L1FLnI_1q24.3i_chr1_172310748_172320895	L1FLnI_1q24.3i_chr1_172310748_172320895				UID-6763
L1FLnI_1q24.3j	L1FLnI	L1FLnI	chr1	172428117	172438244	+	l1base	L1FLnI_1q24.3j_chr1_172428117_172438244	L1FLnI_1q24.3j_chr1_172428117_172438244				UID-7459
L1FLnI_1q24.3k	L1FLnI	L1FLnI	chr1	172428117	172438228	+	l1base	L1FLnI_1q24.3k_chr1_172428117_172438228	L1FLnI_1q24.3k_chr1_172428117_172438228				UID-7475
L1FLnI_1q24.3l	L1FLnI	L1FLnI	chr1	172590776	172600914	-	l1base	L1FLnI_1q24.3l_chr1_172590776_172600914	L1FLnI_1q24.3l_chr1_172590776_172600914				UID-7072
L1FLnI_1q24.3m	L1FLnI	L1FLnI	chr1	172980781	172990806	-	l1base	L1FLnI_1q24.3m_chr1_172980781_172990806	L1FLnI_1q24.3m_chr1_172980781_172990806				UID-7325
L1FLnI_1q25.1a	L1FLnI	L1FLnI	chr1	173068608	173077137	-	l1base	L1FLnI_1q25.1a_chr1_173068608_173077137	L1FLnI_1q25.1a_chr1_173068608_173077137				UID-6857
L1FLnI_1q25.1b	L1FLnI	L1FLnI	chr1	173150246	173160405	+	l1base	L1FLnI_1q25.1b_chr1_173150246_173160405	L1FLnI_1q25.1b_chr1_173150246_173160405				UID-6858
L1FLnI_1q25.1c	L1FLnI	L1FLnI	chr1	173318903	173329014	+	l1base	L1FLnI_1q25.1c_chr1_173318903_173329014	L1FLnI_1q25.1c_chr1_173318903_173329014				UID-6859
L1FLnI_1q25.1d	L1FLnI	L1FLnI	chr1	173510831	173519689	-	l1base	L1FLnI_1q25.1d_chr1_173510831_173519689	L1FLnI_1q25.1d_chr1_173510831_173519689				UID-7508
L1FLnI_1q25.1e	L1FLnI	L1FLnI	chr1	173649610	173659742	-	l1base	L1FLnI_1q25.1e_chr1_173649610_173659742	L1FLnI_1q25.1e_chr1_173649610_173659742				UID-7425
L1FLnI_1q25.1f	L1FLnI	L1FLnI	chr1	173693307	173702325	+	l1base	L1FLnI_1q25.1f_chr1_173693307_173702325	L1FLnI_1q25.1f_chr1_173693307_173702325				UID-7426
L1FLnI_1q25.1g	L1FLnI	L1FLnI	chr1	173722266	173732372	+	l1base	L1FLnI_1q25.1g_chr1_173722266_173732372	L1FLnI_1q25.1g_chr1_173722266_173732372				UID-6860
L1FLnI_1q25.1h	L1FLnI	L1FLnI	chr1	173754862	173765356	+	l1base	L1FLnI_1q25.1h_chr1_173754862_173765356	L1FLnI_1q25.1h_chr1_173754862_173765356				UID-6937
L1FLnI_1q25.1i	L1FLnI	L1FLnI	chr1	173808196	173817357	+	l1base	L1FLnI_1q25.1i_chr1_173808196_173817357	L1FLnI_1q25.1i_chr1_173808196_173817357				UID-7427
L1FLnI_1q25.1j	L1FLnI	L1FLnI	chr1	174124996	174135399	-	l1base	L1FLnI_1q25.1j_chr1_174124996_174135399	L1FLnI_1q25.1j_chr1_174124996_174135399				UID-7384
L1FLnI_1q25.1k	L1FLnI	L1FLnI	chr1	174232768	174242793	-	l1base	L1FLnI_1q25.1k_chr1_174232768_174242793	L1FLnI_1q25.1k_chr1_174232768_174242793				UID-7304
L1FLI_1q25.1a	L1FLI	L1FLI	chr1	174376772	174384818	-	l1base	L1FLI_1q25.1a_chr1_174376772_174384818	L1FLI_1q25.1a_chr1_174376772_174384818				UID-103
L1FLI_1q25.1b	L1FLI	L1FLI	chr1	174589337	174597381	-	l1base	L1FLI_1q25.1b_chr1_174589337_174597381	L1FLI_1q25.1b_chr1_174589337_174597381				UID-102
L1FLnI_1q25.1l	L1FLnI	L1FLnI	chr1	174609559	174619728	-	l1base	L1FLnI_1q25.1l_chr1_174609559_174619728	L1FLnI_1q25.1l_chr1_174609559_174619728				UID-6699
L1FLnI_1q25.1m	L1FLnI	L1FLnI	chr1	174842728	174852743	-	l1base	L1FLnI_1q25.1m_chr1_174842728_174852743	L1FLnI_1q25.1m_chr1_174842728_174852743				UID-7305
L1FLnI_1q25.1n	L1FLnI	L1FLnI	chr1	175230572	175240773	+	l1base	L1FLnI_1q25.1n_chr1_175230572_175240773	L1FLnI_1q25.1n_chr1_175230572_175240773				UID-7528
L1FLnI_1q25.1o	L1FLnI	L1FLnI	chr1	175988758	175998971	+	l1base	L1FLnI_1q25.1o_chr1_175988758_175998971	L1FLnI_1q25.1o_chr1_175988758_175998971				UID-6797
L1FLnI_1q25.1p	L1FLnI	L1FLnI	chr1	175988758	175999001	+	l1base	L1FLnI_1q25.1p_chr1_175988758_175999001	L1FLnI_1q25.1p_chr1_175988758_175999001				UID-6810
L1FLnI_1q25.1q	L1FLnI	L1FLnI	chr1	176001856	176011867	-	l1base	L1FLnI_1q25.1q_chr1_176001856_176011867	L1FLnI_1q25.1q_chr1_176001856_176011867				UID-7364
L1FLnI_1q25.2a	L1FLnI	L1FLnI	chr1	176255587	176265610	-	l1base	L1FLnI_1q25.2a_chr1_176255587_176265610	L1FLnI_1q25.2a_chr1_176255587_176265610				UID-7365
L1FLnI_1q25.2b	L1FLnI	L1FLnI	chr1	176281710	176290863	-	l1base	L1FLnI_1q25.2b_chr1_176281710_176290863	L1FLnI_1q25.2b_chr1_176281710_176290863				UID-7282
L1FLnI_1q25.2c	L1FLnI	L1FLnI	chr1	176307884	176317888	-	l1base	L1FLnI_1q25.2c_chr1_176307884_176317888	L1FLnI_1q25.2c_chr1_176307884_176317888				UID-6798
L1FLnI_1q25.2d	L1FLnI	L1FLnI	chr1	176307897	176317888	-	l1base	L1FLnI_1q25.2d_chr1_176307897_176317888	L1FLnI_1q25.2d_chr1_176307897_176317888				UID-6811
L1FLnI_1q25.2e	L1FLnI	L1FLnI	chr1	176352945	176362486	+	l1base	L1FLnI_1q25.2e_chr1_176352945_176362486	L1FLnI_1q25.2e_chr1_176352945_176362486				UID-7470
L1FLnI_1q25.2f	L1FLnI	L1FLnI	chr1	176397248	176406004	-	l1base	L1FLnI_1q25.2f_chr1_176397248_176406004	L1FLnI_1q25.2f_chr1_176397248_176406004				UID-7244
L1FLnI_1q25.2g	L1FLnI	L1FLnI	chr1	176419349	176430610	-	l1base	L1FLnI_1q25.2g_chr1_176419349_176430610	L1FLnI_1q25.2g_chr1_176419349_176430610				UID-7394
L1FLnI_1q25.2h	L1FLnI	L1FLnI	chr1	177378406	177388763	-	l1base	L1FLnI_1q25.2h_chr1_177378406_177388763	L1FLnI_1q25.2h_chr1_177378406_177388763				UID-6977
L1FLnI_1q25.2i	L1FLnI	L1FLnI	chr1	177400419	177410441	-	l1base	L1FLnI_1q25.2i_chr1_177400419_177410441	L1FLnI_1q25.2i_chr1_177400419_177410441				UID-6723
L1FLnI_1q25.2j	L1FLnI	L1FLnI	chr1	177630429	177640446	+	l1base	L1FLnI_1q25.2j_chr1_177630429_177640446	L1FLnI_1q25.2j_chr1_177630429_177640446				UID-7324
L1FLnI_1q25.2k	L1FLnI	L1FLnI	chr1	177671312	177681446	-	l1base	L1FLnI_1q25.2k_chr1_177671312_177681446	L1FLnI_1q25.2k_chr1_177671312_177681446				UID-6855
L1FLnI_1q25.2l	L1FLnI	L1FLnI	chr1	177689031	177699161	+	l1base	L1FLnI_1q25.2l_chr1_177689031_177699161	L1FLnI_1q25.2l_chr1_177689031_177699161				UID-7039
L1FLnI_1q25.2m	L1FLnI	L1FLnI	chr1	177755905	177766045	+	l1base	L1FLnI_1q25.2m_chr1_177755905_177766045	L1FLnI_1q25.2m_chr1_177755905_177766045				UID-6724
L1FLnI_1q25.2n	L1FLnI	L1FLnI	chr1	177982529	177992695	+	l1base	L1FLnI_1q25.2n_chr1_177982529_177992695	L1FLnI_1q25.2n_chr1_177982529_177992695				UID-7448
L1FLnI_1q25.2o	L1FLnI	L1FLnI	chr1	178244060	178254199	-	l1base	L1FLnI_1q25.2o_chr1_178244060_178254199	L1FLnI_1q25.2o_chr1_178244060_178254199				UID-7512
L1ORF2_1q25.2	L1ORF2	L1ORF2	chr1	178313776	178321821	-	l1base	L1ORF2_1q25.2_chr1_178313776_178321821	L1ORF2_1q25.2_chr1_178313776_178321821				UID-92
L1FLnI_1q25.2p	L1FLnI	L1FLnI	chr1	178834049	178844166	+	l1base	L1FLnI_1q25.2p_chr1_178834049_178844166	L1FLnI_1q25.2p_chr1_178834049_178844166				UID-7344
L1FLnI_1q25.2q	L1FLnI	L1FLnI	chr1	178987093	178997073	-	l1base	L1FLnI_1q25.2q_chr1_178987093_178997073	L1FLnI_1q25.2q_chr1_178987093_178997073				UID-6736
L1FLnI_1q25.2r	L1FLnI	L1FLnI	chr1	179459545	179469749	-	l1base	L1FLnI_1q25.2r_chr1_179459545_179469749	L1FLnI_1q25.2r_chr1_179459545_179469749				UID-7053
L1FLnI_1q25.2s	L1FLnI	L1FLnI	chr1	179534725	179544961	-	l1base	L1FLnI_1q25.2s_chr1_179534725_179544961	L1FLnI_1q25.2s_chr1_179534725_179544961				UID-7436
L1FLnI_1q25.2t	L1FLnI	L1FLnI	chr1	179565074	179573683	-	l1base	L1FLnI_1q25.2t_chr1_179565074_179573683	L1FLnI_1q25.2t_chr1_179565074_179573683				UID-7437
L1FLnI_1q25.2u	L1FLnI	L1FLnI	chr1	179683554	179693695	-	l1base	L1FLnI_1q25.2u_chr1_179683554_179693695	L1FLnI_1q25.2u_chr1_179683554_179693695				UID-7054
L1FLnI_1q25.2v	L1FLnI	L1FLnI	chr1	179690555	179700929	+	l1base	L1FLnI_1q25.2v_chr1_179690555_179700929	L1FLnI_1q25.2v_chr1_179690555_179700929				UID-7129
L1FLnI_1q25.3a	L1FLnI	L1FLnI	chr1	180330073	180340194	+	l1base	L1FLnI_1q25.3a_chr1_180330073_180340194	L1FLnI_1q25.3a_chr1_180330073_180340194				UID-7070
L1FLI_1q25.3	L1FLI	L1FLI	chr1	180865799	180873845	-	l1base	L1FLI_1q25.3_chr1_180865799_180873845	L1FLI_1q25.3_chr1_180865799_180873845				UID-101
L1FLnI_1q25.3b	L1FLnI	L1FLnI	chr1	181272364	181282492	+	l1base	L1FLnI_1q25.3b_chr1_181272364_181282492	L1FLnI_1q25.3b_chr1_181272364_181282492				UID-6897
L1FLnI_1q25.3c	L1FLnI	L1FLnI	chr1	181845331	181855705	+	l1base	L1FLnI_1q25.3c_chr1_181845331_181855705	L1FLnI_1q25.3c_chr1_181845331_181855705				UID-7391
L1FLnI_1q25.3d	L1FLnI	L1FLnI	chr1	181868392	181878936	+	l1base	L1FLnI_1q25.3d_chr1_181868392_181878936	L1FLnI_1q25.3d_chr1_181868392_181878936				UID-6954
L1FLnI_1q25.3e	L1FLnI	L1FLnI	chr1	181955619	181965858	-	l1base	L1FLnI_1q25.3e_chr1_181955619_181965858	L1FLnI_1q25.3e_chr1_181955619_181965858				UID-7153
L1FLnI_1q25.3f	L1FLnI	L1FLnI	chr1	182540460	182549633	-	l1base	L1FLnI_1q25.3f_chr1_182540460_182549633	L1FLnI_1q25.3f_chr1_182540460_182549633				UID-7488
L1FLnI_1q25.3g	L1FLnI	L1FLnI	chr1	183393803	183402579	+	l1base	L1FLnI_1q25.3g_chr1_183393803_183402579	L1FLnI_1q25.3g_chr1_183393803_183402579				UID-7061
L1FLnI_1q25.3h	L1FLnI	L1FLnI	chr1	183654569	183664723	+	l1base	L1FLnI_1q25.3h_chr1_183654569_183664723	L1FLnI_1q25.3h_chr1_183654569_183664723				UID-6743
L1FLnI_1q25.3i	L1FLnI	L1FLnI	chr1	183678743	183687917	-	l1base	L1FLnI_1q25.3i_chr1_183678743_183687917	L1FLnI_1q25.3i_chr1_183678743_183687917				UID-7136
L1FLnI_1q25.3j	L1FLnI	L1FLnI	chr1	184130075	184140257	-	l1base	L1FLnI_1q25.3j_chr1_184130075_184140257	L1FLnI_1q25.3j_chr1_184130075_184140257				UID-6904
L1FLnI_1q25.3k	L1FLnI	L1FLnI	chr1	184303045	184312347	-	l1base	L1FLnI_1q25.3k_chr1_184303045_184312347	L1FLnI_1q25.3k_chr1_184303045_184312347				UID-7243
L1FLnI_1q25.3l	L1FLnI	L1FLnI	chr1	184842118	184852141	+	l1base	L1FLnI_1q25.3l_chr1_184842118_184852141	L1FLnI_1q25.3l_chr1_184842118_184852141				UID-6689
L1FLnI_1q25.3m	L1FLnI	L1FLnI	chr1	184998032	185008055	+	l1base	L1FLnI_1q25.3m_chr1_184998032_185008055	L1FLnI_1q25.3m_chr1_184998032_185008055				UID-6705
L1FLnI_1q25.3n	L1FLnI	L1FLnI	chr1	185251300	185261305	-	l1base	L1FLnI_1q25.3n_chr1_185251300_185261305	L1FLnI_1q25.3n_chr1_185251300_185261305				UID-7309
L1FLnI_1q25.3o	L1FLnI	L1FLnI	chr1	185378104	185388239	-	l1base	L1FLnI_1q25.3o_chr1_185378104_185388239	L1FLnI_1q25.3o_chr1_185378104_185388239				UID-6828
L1FLnI_1q25.3p	L1FLnI	L1FLnI	chr1	185582906	185592991	+	l1base	L1FLnI_1q25.3p_chr1_185582906_185592991	L1FLnI_1q25.3p_chr1_185582906_185592991				UID-7399
L1FLnI_1q25.3q	L1FLnI	L1FLnI	chr1	185635839	185644566	+	l1base	L1FLnI_1q25.3q_chr1_185635839_185644566	L1FLnI_1q25.3q_chr1_185635839_185644566				UID-6829
L1FLnI_1q25.3r	L1FLnI	L1FLnI	chr1	185703899	185714077	+	l1base	L1FLnI_1q25.3r_chr1_185703899_185714077	L1FLnI_1q25.3r_chr1_185703899_185714077				UID-6706
L1FLnI_1q25.3s	L1FLnI	L1FLnI	chr1	185777848	185788001	-	l1base	L1FLnI_1q25.3s_chr1_185777848_185788001	L1FLnI_1q25.3s_chr1_185777848_185788001				UID-7016
L1FLnI_1q31.1a	L1FLnI	L1FLnI	chr1	185886795	185896834	-	l1base	L1FLnI_1q31.1a_chr1_185886795_185896834	L1FLnI_1q31.1a_chr1_185886795_185896834				UID-7377
L1FLnI_1q31.1b	L1FLnI	L1FLnI	chr1	185886808	185896834	-	l1base	L1FLnI_1q31.1b_chr1_185886808_185896834	L1FLnI_1q31.1b_chr1_185886808_185896834				UID-7310
L1FLnI_1q31.1c	L1FLnI	L1FLnI	chr1	186156991	186167060	-	l1base	L1FLnI_1q31.1c_chr1_186156991_186167060	L1FLnI_1q31.1c_chr1_186156991_186167060				UID-6775
L1FLnI_1q31.1d	L1FLnI	L1FLnI	chr1	186256102	186266229	-	l1base	L1FLnI_1q31.1d_chr1_186256102_186266229	L1FLnI_1q31.1d_chr1_186256102_186266229				UID-6902
L1FLnI_1q31.1e	L1FLnI	L1FLnI	chr1	186505913	186516171	-	l1base	L1FLnI_1q31.1e_chr1_186505913_186516171	L1FLnI_1q31.1e_chr1_186505913_186516171				UID-7158
L1FLnI_1q31.1f	L1FLnI	L1FLnI	chr1	186527400	186536162	-	l1base	L1FLnI_1q31.1f_chr1_186527400_186536162	L1FLnI_1q31.1f_chr1_186527400_186536162				UID-7206
L1FLnI_1q31.1g	L1FLnI	L1FLnI	chr1	186544800	186554940	-	l1base	L1FLnI_1q31.1g_chr1_186544800_186554940	L1FLnI_1q31.1g_chr1_186544800_186554940				UID-7464
L1FLnI_1q31.1h	L1FLnI	L1FLnI	chr1	186633833	186643856	+	l1base	L1FLnI_1q31.1h_chr1_186633833_186643856	L1FLnI_1q31.1h_chr1_186633833_186643856				UID-7356
L1FLnI_1q31.1i	L1FLnI	L1FLnI	chr1	187217154	187228661	-	l1base	L1FLnI_1q31.1i_chr1_187217154_187228661	L1FLnI_1q31.1i_chr1_187217154_187228661				UID-7240
